AMD Ryzen 7 7800X3D,120
"AMD Ryzen 5 5600X",65
"AMD Ryzen 9 5900X
",105
"AMD Ryzen 5 3600
",65
"Intel Core i9-14900K
",125
"AMD Ryzen 7 5800X",105
"AMD Ryzen 7 5800X3D",105
"AMD Ryzen 7 5700X
",65
"AMD Ryzen 5 5600G",65
"AMD Ryzen 7 3700X",65
"AMD Ryzen 9 5950X",105
"Intel Core i5-12400F",65
"Intel Core i9-13900K",125
"AMD Ryzen 5 5600",65
"AMD Ryzen 5 5600",65
"Intel Core i5-1135G7 @ 2.40GHz",15
"Intel Core i7-14700K",125
"AMD Ryzen 9 7950X",170
"AMD Ryzen 9 7950X3D",120
"Intel Core i7-12700H",45
"Intel Core i7-13700K",125
"AMD Ryzen 9 7900X",170
"Intel Core i7-14700KF",125
Intel Core i7-1265U,65
"Intel Core i9-12900K",241
Intel Core i7-1265U,65
"Intel Core i9-14900KF",125
"Intel Core i7-12700K",125
"Intel Core i7-8700 @ 3.20GHz",65
"AMD Ryzen 7 7700X",105
M2,20
M1,14
