Path,2024-03-30T14:33,2024-03-30T14:34
tree.children.child-0.cpu/utilization,0.1
tree.children.child-0.cpu/utilization,0.3
tree.children.child-0.cpu/utilization,0.2
tree.children.child-0.cpu/utilization,0.7,1.9
tree.children.child-0.cpu/utilization,19.6,0.2
tree.children.child-0.cpu/utilization,0.1,0.3
tree.children.child-0.cpu/utilization,2,7
tree.children.child-0.cpu/utilization,0.5,0.3
tree.children.child-0.cpu/utilization,0.2,0.3
tree.children.child-0.cpu/utilization,84.1,15.4
tree.children.child-0.cpu/utilization,0.8,0.2
